name,shortdesc,desc,levelreq,specialreq,specialreqdesc,traits/0,traits/1,subTypes,hint,subType,superType,showon,internalNote,effects/0/affected,effects/0/value,featreq/0,gainActivities/0,senses
Amphibious: Swim,The familiar gains a swim Speed of 25 feet.,The familiar gains a swim Speed of 25 feet.,,,Land Speed,Familiar Ability,,,,,,,,Swim Speed,25,,,
Amphibious: Land,The familiar gains a Speed of 25 feet.,The familiar gains a Speed of 25 feet.,,,Swim Speed,Familiar Ability,,,,,,,,Land Speed,25,,,
Burrower,"The familiar gains a burrow Speed of 5 feet, allowing it to dig Tiny holes.","The familiar gains a burrow Speed of 5 feet, allowing it to dig Tiny holes.",,,,Familiar Ability,,,,,,,,Burrow Speed,25,,,
Climber,The familiar gains a climb Speed of 25 feet.,The familiar gains a climb Speed of 25 feet.,,,,Familiar Ability,,,,,,,,Climb Speed,25,,,
Damage Avoidance,Choose one type of save. The familiar takes no damage when it succeeds at that type of save; this doesn’t prevent effects other than damage.,Choose one type of save. The familiar takes no damage when it succeeds at that type of save; this doesn’t prevent effects other than damage.,,,,Familiar Ability,,TRUE,,,,,,,,,,
Damage Avoidance: Fortitude,The familiar takes no damage when it succeeds at a Fortitude save; this doesn’t prevent effects other than damage.,The familiar takes no damage when it succeeds at a Fortitude save; this doesn’t prevent effects other than damage.,,,,Familiar Ability,,,The familiar takes no damage when it succeeds at a Fortitude save; this doesn’t prevent effects other than damage.,Fortitude,Damage Avoidance,Fortitude,,,,,,
Damage Avoidance: Reflex,The familiar takes no damage when it succeeds at a Reflex save; this doesn’t prevent effects other than damage.,The familiar takes no damage when it succeeds at a Reflex save; this doesn’t prevent effects other than damage.,,,,Familiar Ability,,,The familiar takes no damage when it succeeds at a Reflex save; this doesn’t prevent effects other than damage.,Reflex,Damage Avoidance,Reflex,,,,,,
Damage Avoidance: Will,The familiar takes no damage when it succeeds at a Will save; this doesn’t prevent effects other than damage.,The familiar takes no damage when it succeeds at a Will save; this doesn’t prevent effects other than damage.,,,,Familiar Ability,,,The familiar takes no damage when it succeeds at a Will save; this doesn’t prevent effects other than damage.,Will,Damage Avoidance,Will,,,,,,
Darkvision,The familiar gains darkvision.,The familiar gains darkvision.,,,,Familiar Ability,,,,,,,,Darkvision,,,,
Fast Movement,Increase one of the familiar’s Speeds from 25 feet to 40 feet.,Increase one of the familiar’s Speeds from 25 feet to 40 feet.,,,,Familiar Ability,,,,,,,,,,,,
Fast Movement: Burrow,The familiar’s Burrow Speed increases from 25 feet to 40 feet.,The familiar’s Burrow Speed increases from 25 feet to 40 feet.,,,Burrow Speed,,,,,,,,,Burrow Speed,15,,,
Fast Movement: Climb,The familiar’s Climb Speed increases from 25 feet to 40 feet.,The familiar’s Climb Speed increases from 25 feet to 40 feet.,,,Climb Speed,,,,,,,,,Climb Speed,15,,,
Fast Movement: Fly,The familiar’s Fly Speed increases from 25 feet to 40 feet.,The familiar’s Fly Speed increases from 25 feet to 40 feet.,,,Fly Speed,,,,,,,,,Fly Speed,15,,,
Fast Movement: Land,The familiar’s Land Speed increases from 25 feet to 40 feet.,The familiar’s Land Speed increases from 25 feet to 40 feet.,,,Land Speed,,,,,,,,,Land Speed,15,,,
Fast Movement: Swim,The familiar’s Swim Speed increases from 25 feet to 40 feet.,The familiar’s Swim Speed increases from 25 feet to 40 feet.,,,Swim Speed,,,,,,,,,Swim Speed,15,,,
Flier,The familiar gains a fly Speed of 25 feet.,The familiar gains a fly Speed of 25 feet.,,,,Familiar Ability,,,,,,,,Fly Speed,25,,,
Kinspeech,"The familiar can understand and speak with animals of the same species. To select this, your familiar must be an animal, it must have the speech ability, and you must be at least 6th level.","The familiar can understand and speak with animals of the same species. To select this, your familiar must be an animal, it must have the speech ability, and you must be at least 6th level.",6,,,Familiar Ability,,,,,,,,,,Familiar:Speech,,
Lab Assistant,"The familiar can use your Quick Alchemy action. You must have Quick Alchemy, and your familiar must be in your space. This has the same cost and requirement as if you used it. It must have the manual dexterity ability to select this.","The familiar can use your Quick Alchemy action. You must have Quick Alchemy, and your familiar must be in your space. This has the same cost and requirement as if you used it. It must have the manual dexterity ability to select this.",,,,Familiar Ability,,,,,,,,,,Quick Alchemy,,
Manual Dexterity,The familiar can use up to two of its limbs as if they were hands to use manipulate actions.,The familiar can use up to two of its limbs as if they were hands to use manipulate actions.,,,,Familiar Ability,,,,,,,,,,,,
Scent,"The familiar gains scent (imprecise, 30 feet).","The familiar gains scent (imprecise, 30 feet).",,,,Familiar Ability,,,,,,,,,,,,Scent 30 feet (Imprecise)
Speech,The familiar understands and speaks a language you know.,The familiar understands and speaks a language you know.,,,,Familiar Ability,,,,,,,,,,,,
Cantrip Connection,"You can prepare an additional cantrip, or if you have a repertoire, instead designate a cantrip to add to your repertoire every time you select this ability; you can retrain it but can’t otherwise change it. You must be able to prepare cantrips or add them to your repertoire to select this.","You can prepare an additional cantrip, or if you have a repertoire, instead designate a cantrip to add to your repertoire every time you select this ability; you can retrain it but can’t otherwise change it. You must be able to prepare cantrips or add them to your repertoire to select this.",,,Cantrips,Master Ability,,,,,,,,,,,,
Extra Reagents,Your familiar grows extra infused reagents on or in its body. You gain an additional batch of infused reagents. You must have the infused reagents ability to select this ability.,Your familiar grows extra infused reagents on or in its body. You gain an additional batch of infused reagents. You must have the infused reagents ability to select this ability.,,,,Master Ability,Concentrate,,,,,,,,,Infused Reagents,,
Familiar Focus,"Once per day, your familiar can use 2 actions with the concentrate trait to regain 1 Focus Point, up to your usual maximum You must have a focus pool to select this.","Once per day, your familiar can use 2 actions with the concentrate trait to regain 1 Focus Point, up to your usual maximum You must have a focus pool to select this.",,,Focus Pool,Master Ability,,,,,,,,,,,Familiar Focus,
Lifelink,"If your familiar would be reduced to 0 HP by damage, as a reaction with the concentrate trait, you can take the damage. If you do, you take all the damage and your familiar takes none. However, if special effects when a hit damages your familiar (such as snake venom) still apply to your familiar.","If your familiar would be reduced to 0 HP by damage, as a reaction with the concentrate trait, you can take the damage. If you do, you take all the damage and your familiar takes none. However, if special effects when a hit damages your familiar (such as snake venom) still apply to your familiar.",,,cast 4th-Level spells using spell slots,Master Ability,,,,,,,,,,,Lifelink,
Spell Battery,You gain one additional spell slot at least 3 levels lower than your highest-level spell slot; you must be able to cast 4th-level spells using spell slots to select this master ability.,You gain one additional spell slot at least 3 levels lower than your highest-level spell slot; you must be able to cast 4th-level spells using spell slots to select this master ability.,,,,Master Ability,,,,,,,,,,,,
Spell Delivery,"If your familiar is in your space, you can cast a spell with a range of touch, transfer its power to your familiar, and command the familiar to deliver the spell. If you do, the familiar uses its 2 actions for the round to move to a target of your choice and touch that target. If it doesn’t reach the target to touch it this turn, the spell has no effect.","If your familiar is in your space, you can cast a spell with a range of touch, transfer its power to your familiar, and command the familiar to deliver the spell. If you do, the familiar uses its 2 actions for the round to move to a target of your choice and touch that target. If it doesn’t reach the target to touch it this turn, the spell has no effect.",,,,Master Ability,,,,,,,,,,,,
