name,desc,specialdesc,gainActivities/0,hint,showon,internalNote,critSpecialization
Flurry of Blows,"You can attack rapidly with fists, feet, elbows, knees, and other unarmed attacks. You gain the Flurry of Blows action.","You can attack rapidly with fists, feet, elbows, knees, and other unarmed attacks. You gain the Flurry of Blows action.",Flurry of Blows,,,,
Powerful Fist,"You know how to wield your fists as deadly weapons. The damage die for your fist increases to 1d6 instead of 1d4. Most people take a -2 circumstance penalty when making a lethal attack with nonlethal unarmed attacks, because they find it hard to use their fists with deadly force. You don't take this penalty when making a lethal attack with your fist or any other unarmed attacks.",,,You don't take the usual -2 circumstance penalty when making a lethal attack with your fist or any other unarmed attacks.,Unarmed Attacks,,
Incredible Movement,You move like the wind. You gain a +10-foot status bonus to your Speed whenever you're not wearing armor. The bonus increases by 5 feet for every 4 levels you have beyond 3rd.,,,You gain a +10-foot status bonus to your Speed whenever you're not wearing armor. The bonus increases by 5 feet for every 4 levels you have beyond 3rd.,Land Speed,,
Mystic Strikes,"Focusing your will into your physical attacks imbues them with mystical energy. Your unarmed attacks become magical, allowing them to get past resistances to non-magical attacks. However, you still need an item such as handwraps of mighty blows to gain an item bonus to attack rolls or increase your attacks' weapon damage dice.",,,"Your unarmed attacks become magical, allowing them to get past resistances to non-magical attacks.",Unarmed Attacks,,
Alertness,You remain alert to threats around you. Your proficiency rank for Perception increases to expert.,,,,,Skill increases through class features are handled in the class object.,
Expert Strikes,You've practiced martial arts and have now surpassed your former skill. Your proficiency ranks for unarmed attacks and simple weapons increase to expert.,,,,,Skill increases through class features are handled in the class object.,
Path to Perfection,"You have progressed along your own path to enlightenment. Choose your Fortitude, Reflex, or Will saving throw. Your proficiency rank for the chosen saving throw increases to master. When you roll a success on the chosen saving throw, you get a critical success instead.",,,"When you roll a success on this saving throw, you get a critical success instead.",Path to Perfection,Skill increases through class features are handled in the class object.,
Weapon Specialization,"You've learned how to inflict greater injuries with the weapons you know best. You deal 2 additional damage with weapons and unarmed attacks in which you are an expert. This damage increases to 3 if you're a master, and 4 if you're legendary.",,,,,The effect is hardcoded.,
Metal Strikes,"You can adjust your body to make unarmed attacks infused with the mystic energy of rare metals. Your unarmed attacks are treated as cold iron and silver. This allows you to deal more damage to a variety of supernatural creatures, such as demons, devils, and fey.",,,"Your unarmed attacks are treated as cold iron and silver. This allows you to deal more damage to a variety of supernatural creatures, such as demons, devils, and fey.",Unarmed Attacks,,
Monk Expertise,"Your proficiency rank for your monk class DC increases to expert. If you have ki spells, your proficiency rank for spell attacks and spell DCs with the tradition of magic you use for your ki spells increases to expert.",,,,,Skill increases through class features are handled in the class object.,
Second Path to Perfection,"You've learned to find perfection in every success. Choose a different saving throw than the one you chose for your path to perfection. Your proficiency rank for the chosen saving throw increases to master. If you roll a success with the chosen saving throw, you instead critically succeed.",,,"If you roll a success with this saving throw, you instead critically succeed.",Second Path to Perfection,Skill increases through class features are handled in the class object.,
Graceful Mastery,"You move with perpetual grace in battle, eluding and turning aside blows. Your proficiency rank for unarmored defense increases to master.",,,,,Skill increases through class features are handled in the class object.,
Master Strikes,You have honed your skill in using your body as a weapon. Your proficiency ranks for unarmed attacks and simple weapons increase to master.,,,,,Skill increases through class features are handled in the class object.,
Greater Weapon Specialization,"Your damage from weapon specialization increases to 4 with weapons and unarmed attacks in which you're an expert, 6 if you're a master, and 8 if you're legendary.",,,,,The effect is hardcoded.,
Third Path to Perfection,"You have made great progress in your personal studies of enlightenment. Choose one of the saving throws you selected for path to perfection or second path to perfection. Your proficiency rank for the chosen type of save increases to legendary. When you roll a critical failure on the chosen type of save, you get a failure instead. When you roll a failure on the chosen type of save against an effect that deals damage, you take half damage.",,,"When you roll a critical failure on this type of save, you get a failure instead. When you roll a failure on this type of save against an effect that deals damage, you take half damage.",Third Path to Perfection,Skill increases through class features are handled in the class object.,
Adamantine Strikes,"When you focus your will into your limbs, your blows are as unyielding as the hardest of metals. Your unarmed attacks are treated as adamantine.",,,Your unarmed attacks are treated as adamantine.,Unarmed Attacks,,
Graceful Legend,"Your sublime movement grants you unparalleled protection and offense. Your proficiency rank for unarmored defense increases to legendary, and your proficiency rank for your monk class DC increases to master. If you have ki spells, your proficiency rank for spell attack rolls and spell DCs with the tradition of magic you use for your ki spells increases to master.",,,,,Skill increases through class features are handled in the class object.,
Perfected Form,"You have purged incompetence from your techniques. On your first Strike of your turn, if you roll lower than 10, you can treat the attack roll as a 10. This is a fortune effect.",,,"On your first Strike of your turn, if you roll lower than 10, you can treat the attack roll as a 10. This is a fortune effect.",Attacks,,
Hunt Prey,"When you focus your attention on a single foe, you become unstoppable in your pursuit. You gain the Hunt Prey action.",,Hunt Prey,,,,
Hunter's Edge,"You have trained for countless hours to become a more skilled hunter and tracker, gaining an additional benefit when you Hunt Prey depending on the focus of your training.",,,,,A feat choice for your hunter's edge focus is written into the class class.,
Iron Will,Your training has hardened your resolve. Your proficiency rank for Will saves increases to expert.,,,,,Skill increases through class features are handled in the class object.,
