name,id,shortDesc,actions,castType,sourceBook,PFSnote,levelreq,traditions/0,traditions/1,traditions/2,traditions/3,traits/0,traits/1,traits/2,traits/3,traits/4,traits/5,traits/6,traits/7,cost,inputRequired,internalNote,range,area,targets,target,singleTarget,allowReturnFocusPoint,requirements,trigger,sustained,duration,desc,savingThrow,critsuccess,success,failure,critfailure,showSpells/0/level,showSpells/0/name,heightened/0/desc,heightened/0/level,heightened/1/desc,heightened/1/level,heightened/2/desc,heightened/2/level,heightened/3/desc,heightened/3/level,heightened/4/desc,heightened/4/level,heightened/5/desc,heightened/5/level,heightened/6/desc,heightened/6/level,heightened/7/desc,heightened/7/level,heightened/8/desc,heightened/8/level,gainConditions/0/duration,gainConditions/0/heightenedFilter,gainConditions/0/name,gainConditions/0/source,gainConditions/0/targetFilter,gainConditions/0/value,gainConditions/1/duration,gainConditions/1/heightenedFilter,gainConditions/1/name,gainConditions/1/source,gainConditions/1/targetFilter,gainConditions/1/value,gainConditions/2/duration,gainConditions/2/heightenedFilter,gainConditions/2/name,gainConditions/2/source,gainConditions/2/targetFilter,gainConditions/2/value,gainConditions/3/duration,gainConditions/3/heightenedFilter,gainConditions/3/name,gainConditions/3/source,gainConditions/3/targetFilter,gainConditions/3/value,gainConditions/4/duration,gainConditions/4/heightenedFilter,gainConditions/4/name,gainConditions/4/source,gainConditions/4/value,gainConditions/5/duration,gainConditions/5/heightenedFilter,gainConditions/5/name,gainConditions/5/source,gainConditions/5/value,gainItems/0/expiration,gainItems/0/heightenedFilter,gainItems/0/name,gainItems/0/type,gainItems/1/expiration,gainItems/1/heightenedFilter,gainItems/1/name,gainItems/1/type,gainItems/2/expiration,gainItems/2/heightenedFilter,gainItems/2/name,gainItems/2/type,gainItems/3/expiration,gainItems/3/heightenedFilter,gainItems/3/name,gainItems/3/type,gainItems/4/expiration,gainItems/4/heightenedFilter,gainItems/4/name,gainItems/4/type,desc1/0/value,desc1/0/variable,desc1/1/value,desc1/1/variable,desc1/2/value,desc1/2/variable,desc2/0/value,desc2/0/variable,desc2/1/value,desc2/1/variable,desc2/2/value,desc2/2/variable,desc2/3/value,desc2/3/variable,desc2/4/value,desc2/4/variable,desc2/5/value,desc2/5/variable,desc2/6/value,desc2/6/variable,desc2/7/value,desc2/7/variable,desc2/8/value,desc2/8/variable,desc3/0/value,desc3/0/variable,desc3/1/value,desc3/1/variable,desc3/2/value,desc3/2/variable,desc3/3/value,desc3/3/variable,desc3/4/value,desc3/4/variable,desc3/5/value,desc3/5/variable,desc3/6/value,desc3/6/variable,desc3/7/value,desc3/7/variable,desc3/8/value,desc3/8/variable,desc4/0/value,desc4/0/variable,desc4/1/value,desc4/1/variable,desc4/2/value,desc4/2/variable,desc4/3/value,desc4/3/variable,desc4/4/value,desc4/4/variable,desc4/5/value,desc4/5/variable,desc4/6/value,desc4/6/variable,desc4/7/value,desc4/7/variable,desc4/8/value,desc4/8/variable,desc4/9/value,desc4/9/variable,desc4/10/value,desc4/10/variable,desc4/11/value,desc4/11/variable,desc5/0/value,desc5/0/variable,desc5/1/value,desc5/1/variable,desc5/2/value,desc5/2/variable,desc5/3/value,desc5/3/variable,desc5/4/value,desc5/4/variable,desc5/5/value,desc5/5/variable,desc5/6/value,desc5/6/variable,desc5/7/value,desc5/7/variable,desc5/8/value,desc5/8/variable,desc5/9/value,desc5/9/variable,desc5/10/value,desc5/10/variable,desc5/11/value,desc5/11/variable,desc6/0/value,desc6/0/variable,desc6/1/value,desc6/1/variable,desc6/2/value,desc6/2/variable,desc6/3/value,desc6/3/variable,desc6/4/value,desc6/4/variable,desc6/5/value,desc6/5/variable,desc6/6/value,desc6/6/variable,desc6/7/value,desc6/7/variable,desc6/8/value,desc6/8/variable,desc6/9/value,desc6/9/variable,desc6/10/value,desc6/10/variable,desc7/0/value,desc7/0/variable,desc7/1/value,desc7/1/variable,desc7/2/value,desc7/2/variable,desc7/3/value,desc7/3/variable,desc7/4/value,desc7/4/variable,desc7/5/value,desc7/5/variable,desc7/6/value,desc7/6/variable,desc7/7/value,desc7/7/variable,desc7/8/value,desc7/8/variable,desc7/9/value,desc7/9/variable,desc7/10/value,desc7/10/variable,desc7/11/value,desc7/11/variable,desc8/0/value,desc8/0/variable,desc8/1/value,desc8/1/variable,desc8/2/value,desc8/2/variable,desc8/3/value,desc8/3/variable,desc9/0/value,desc9/0/variable,desc9/1/value,desc9/1/variable,desc9/2/value,desc9/2/variable,desc9/3/value,desc9/3/variable,desc10/0/value,desc10/0/variable,desc10/1/value,desc10/1/variable,desc10/2/value,desc10/2/variable,desc10/3/value,desc10/3/variable
Lay on Hands,b785001e-fe71-437e-9b0e-a17b2c4c5113,"Your hands become infused with positive energy, healing a living creature or damaging an undead creature with a touch.",1A,somatic,,,1,Focus,,,,Uncommon,Champion,Healing,Necromancy,Positive,,,,,,,,,1 willing creature or 1 undead creature,,,,,,,,"Your hands become infused with positive energy, healing a living creature or damaging an undead creature with a touch. If you use lay on hands on a willing living target, you restore <var>var1</var> Hit Points; if the target is one of your allies, they also gain a +2 status bonus to AC for 1 round. Against an undead target, you deal <var>var2</var> damage and it must attempt a basic Fortitude save; if it fails, it also takes a -2 status penalty to AC for 1 round.",,,,,,,,"The amount of healing increases by 6, and the damage to an undead target increases by 1d6.",(+1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,var1,1d6,var2,,,12,var1,2d6,var2,,,,,,,,,,,,,,,18,var1,3d6,var2,,,,,,,,,,,,,,,24,var1,4d6,var2,,,,,,,,,,,,,,,,,,,,,30,var1,5d6,var2,,,,,,,,,,,,,,,,,,,,,36,var1,6d6,var2,,,,,,,,,,,,,,,,,,,42,var1,7d6,var2,,,,,,,,,,,,,,,,,,,,,48,var1,8d6,var2,,,,,54,var1,9d6,var2,,,,,60,var1,10d6,var2,,,,
Ki Rush,4a76f1a4-9126-11ea-bb37-0242ac130002,"Accelerated by your ki, you move with such speed you become a blur.",1A,verbal,,,1,Focus,,,,Uncommon,Monk,Transmutation,,,,,,,,,,,,self,,,,,,,"Accelerated by your ki, you move with such speed you become a blur. Move two times: two Strides, two Steps, or one Stride and one Step (in either order). You gain the concealed condition during this movement and until the start of your next turn.",,,,,,,,,,,,,,,,,,,,,,,,,,10,,Concealed,Ki Rush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ki Strike,4a76f42e-9126-11ea-bb37-0242ac130002,You focus your ki into magical attacks.,1A,verbal,,,1,Focus,,,,Uncommon,Monk,Transmutation,,,,,,,,,,,,,,,,,,,"You focus your ki into magical attacks. Make an unarmed Strike or Flurry of Blows (this doesn't change the limit on using only one flourish per turn). You gain a +1 status bonus to your attack rolls with the Strikes, and the Strikes deal <var>var1</var>  extra damage. This damage can be any of the following types of your choice, chosen each time you Strike: force, lawful (only if you're lawful), negative, or positive.",,,,,,,,The extra damage increases by 1d6.,(+4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d6,var1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d6,var1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3d6,var1,,,,,,,,,,,,,,
Augment Summoning,e5054e54-b2dd-11ea-b3de-0242ac130004,You augment the abilities of a summoned creature.,1A,verbal,,,1,Focus,,,,Uncommon,Conjuration,Wizard,,,,,,,,,30 feet,,1 creature you summoned,,TRUE,,,,,,"You augment the abilities of a summoned creature. The target gains a +1 status bonus to all checks (this also applies to the creature's DCs, including its AC) for the duration of its summoning, up to 1 minute.",,,,,,,,,,,,,,,,,,,,,,,,,,100,,Augment Summoning,Augment Summoning,caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call of the Grave,e5055192-b2dd-11ea-b3de-0242ac130004,You fire a ray of sickening energy.,2A,"somatic, vebal",,,1,Focus,,,,Uncommon,Arcane,Attack,Necromancy,Wizard,,,,,,,30 feet,,1 living creature,,TRUE,,,,,,You fire a ray of sickening energy. Make a spell attack roll.,,The target becomes sickened 2 and slowed 1 as long as it's sickened.,The target becomes sickened 1.,The target is unaffected.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charming Words,e50552c8-b2dd-11ea-b3de-0242ac130004,You whisper enchanting words to deflect your foe's ire.,1A,verbal,,,1,Focus,,,,Uncommon,Auditory,Enchantment,Incapacitation,Linguistic,Mental,Wizard,,,,,30 feet,,1 creature,,TRUE,,,,,until the start of your next turn,You whisper enchanting words to deflect your foe's ire. The target must attempt a Will save.,Will,The target is unaffected.,The target takes a -1 circumstance penalty to attack rolls and damage rolls against you.,The target can't use hostile actions against you.,The target is stunned 1 and can't use hostile actions against you.,,,,,,,,,,,,,,,,,,,,,10,,Charming Words,Charming Words,caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diviner's Sight,e50553a4-b2dd-11ea-b3de-0242ac130004,You glimpse into the target's future.,1A,verbal,,,1,Focus,,,,Uncommon,Concentrate,Divination,Fortune,Wizard,,,,,,,30 feet,,1 willing living creature,,TRUE,,,,,until the end of your next turn,"You glimpse into the target's future. Roll a d20; when the target attempts a non-secret saving throw or skill check, it can use the number you rolled instead of rolling, and the spell ends. Alternatively, you can instead reveal the result of the die roll for one of the target's secret checks during the duration, and the spell ends. Casting it again ends any active diviner's sight you have cast, as well as any active diviner's sight on the target.",,,,,,,,,,,,,,,,,,,,,,,,,,15,,Diviner's Sight,Diviner's Sight,caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Force Bolt,d9246985-eab2-4b00-a90d-6233eaaeaeea,You fire an unerring dart of force from your fingertips.,1A,somatic,,,1,Focus,,,,Uncommon,Evocation,Force,Wizard,,,,,,,,,,,,,,,,,,You fire an unerring dart of force from your fingertips. It automatically hits and deals <var>var1</var> force damage to the target.,,,,,,,,The damage increases by 1d4+1.,(+2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d4+1,var1,,,,,,,,,,,,,,,,,,,,,,,2d4+2,var1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3d4+3,var1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4d4+4,var1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d4+5,var1,,,,,,,,,,,,,,
Hand of the Apprentice,e5055476-b2dd-11ea-b3de-0242ac130004,"You hurl a held melee weapon, making a spell attack roll.",1A,somatic,,,1,Focus,,,,Uncommon,Attack,Evocation,Wizard,,,,,,,,500 feet,,1 creature,,TRUE,,,,,,"You hurl a held melee weapon with which you are trained at the target, making a spell attack roll. On a success, you deal the weapon's damage as if you had hit with a melee Strike, but adding your spellcasting ability modifier to damage, rather than your Strength modifier. On a critical success, you deal double damage, and you add the weapon's critical specialization effect. Regardless of the outcome, the weapon flies back to you and returns to your hand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Boost,bd6154e2-4f8e-4b2e-bdc0-b4c6c6968a83,You temporarily improve the target's physique.,1A,verbal,,,1,Focus,,,,Uncommon,Transmutation,Wizard,,,,,,,,,touch,,1 living creature,ally,TRUE,,,,,until the end of the target's next turn,"You temporarily improve the target's physique. The target gains a +2 status bonus to the next Acrobatics check, Athletics check, Fortitude save, or Reflex save it attempts.",,,,,,,,,,,,,,,,,,,,,,,,,,15,,Physical Boost,Physical Boost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
